Nodo,Distancia_Promedio,Caminos_Validos
10854904,0.0,1
10854935,0.0,1
10854936,0.3867,9
10857645,0.0,1
10858454,0.0,1
10864040,1.4467,124
10864467,0.0,1
10867014,0.4427,11
10867065,0.2,2
10867340,0.2833,3
10867401,0.0,1
10867936,0.5619,31
10867980,0.0,1
10868064,0.235,2
10868753,0.8975,8
10868958,0.24,2
10869172,0.577,33
10870136,0.0,1
10870282,0.0,1
10872721,0.0,1
10873078,0.6314,7
10874155,0.0,1
10874203,0.0,1
10876168,0.0,1
10878212,0.0,1
10878987,0.24,2
10879118,0.0,1
10880519,0.0,1
10880521,0.0,1
10880522,0.0,1
10880524,0.0,1
10880526,0.0,1
10880530,0.0,1
10880571,0.0,1
10880572,0.0,1
10880573,0.0,1
10880574,0.0,1
10880576,0.0,1
10880579,0.0,1
10880580,0.0,1
10880581,0.0,1
10880587,0.0,1
10880588,0.165,2
10880591,0.0,1
10880592,0.0,1
10880595,0.0,1
10880597,0.0,1
10880598,0.0,1
10880600,0.0,1
10880604,0.22,3
10880605,0.0,1
10880606,0.0,1
10880607,0.0,1
10880611,0.0,1
10880614,0.0,1
10880615,0.0,1
10880618,0.0,1
10880623,0.0,1
10880799,0.21,2
10883800,0.0,1
10883968,0.0,1
10884286,0.31,3
10884737,0.0,1
10884873,0.0,1
10885472,0.4675,4
10885478,0.25,2
10886920,0.0,1
10887298,0.24,2
10891258,0.0,1
10891474,0.3133,3
10891534,0.24,2
10892184,0.235,2
10892857,0.0,1
10893017,0.0,1
10893333,0.25,2
10893452,0.0,1
10893560,0.51,8
10893855,0.0,1
10895089,0.0,1
10895489,0.0,1
10897884,0.0,1
10897993,0.0,1
10900880,0.0,1
10901620,0.215,2
10902892,0.0,1
10904414,0.25,2
10905127,0.21,2
10905382,0.24,2
10906408,0.0,1
10909100,0.0,1
10909109,0.0,1
10910510,0.32,3
10911663,0.7785,27
10914961,0.0,1
10918869,0.0,1
10919160,0.25,2
10923796,0.0,1
10923822,0.0,1
10927855,0.0,1
10930297,0.0,1
10930668,0.245,2
10931029,0.0,1
10932698,0.21,2
10934748,0.0,1
10935137,0.0,1
10935297,0.0,1
10935498,0.205,2
10935509,0.829,21
10935955,0.0,1
10937266,0.0,1
10937960,0.0,1
10938303,0.0,1
10938977,0.0,1
10940335,0.0,1
10944752,0.0,1
10946195,0.0,1
10947002,0.0,1
10948355,0.6025,4
10949740,0.115,2
10950051,0.0,1
10950505,0.0,1
10950597,0.0,1
10950624,0.0,1
10950770,0.0,1
10950957,0.245,2
10951201,0.0,1
10951261,0.0,1
10951343,0.3275,4
10951346,0.25,2
10951356,0.654,5
10952291,0.165,2
10952339,1.4056,77
10952353,0.7775,8
10952393,0.5333,6
10952707,0.4933,3
10952743,0.8727,198
10952786,0.37,4
10952823,1.3556,199
10953050,1.7691,202
10953086,1.328,203
10953124,1.3202,204
10953250,1.3206,206
10953253,0.7689,9
10953304,0.235,2
10955020,1.7449,204
10955732,0.0,1
10955772,0.0,1
10956736,0.0,1
10956926,0.245,2
10959222,0.0,1
10959369,0.0,1
10959647,0.245,2
10960226,0.105,2
10961802,1.4122,114
10965478,0.245,2
10965479,0.2867,3
10965579,0.0,1
10965580,0.0,1
10967257,0.0,1
10967260,0.215,2
10967977,0.245,2
10968966,0.0,1
10971921,0.0,1
10972692,0.0,1
10972721,0.0,1
10972765,0.0,1
10973296,0.0,1
10973551,0.445,8
10974726,0.0,1
10975957,0.0,1
10976022,0.0,1
10976085,0.3933,6
10976186,0.31,3
10976960,0.0,1
10978321,0.245,2
10979259,0.245,2
10980410,0.0,1
10981398,0.0,1
10981419,0.0,1
10982676,0.0,1
10985115,0.0,1
10986788,0.0,1
10986914,0.24,2
10987499,0.0,1
10989928,0.0,1
10990238,0.0,1
10990542,0.4133,6
10991506,0.5289,9
10993654,0.0,1
10994352,0.0,1
10994811,0.0,1
10994814,0.0,1
11001127,0.0,1
11002710,0.0,1
11004431,0.3,3
11006234,0.0,1
